nome,preco,imagem,descricao
Café Expresso,5,image-1750776802931-888192461.jpg,"Intenso e encorpado, o expresso é o clássico do café."
Café com Leite,6,cafeComLeite.jpg,"Mistura perfeita de café expresso com leite cremoso."
Capuccino,7,capuccino.jpg,"Café expresso com espuma de leite e toque de canela."
Mocha,8,mocha.jpg,"Café expresso com chocolate e leite vaporizado."
Macchiato,7.5,macchiato.jpg,"Café expresso com uma leve camada de leite vaporizado."
Latte,6.5,latte.jpg,"Café suave com bastante leite vaporizado."
Café Gelado,6,cafeGelado.jpg,"Refrescante café gelado, perfeito para os dias quentes."
Café Caramelo,7.5,cafeCaramelo.jpg,"Doce e suave, o café com caramelo conquista os paladares."
Café Baunilha,7,cafeBaunilha.jpg,"Sabor delicado de baunilha misturado ao expresso."
Café com Chantilly,8.5,cafeChantilly.jpg,"Café doce com uma camada generosa de chantilly."
Café com Canela,6.5,cafeCanela.jpg,"Café com um toque especial de canela."
Café com Leite Condensado,7.5,cafeLeiteCondensado.jpg,"Café adocicado com leite condensado, um verdadeiro prazer."
Café Vegano,7,cafeVegano.jpg,"Café preparado com leite vegetal, para todos os gostos."
Café Especial da Casa,9,cafeEspecial.jpg,"A especialidade da casa com um sabor único e diferenciado."
Café com Leite,6,cafeComLeite.jpg,"Mistura perfeita de café expresso com leite cremoso."
Capuccino,7,capuccino.jpg,"Café expresso com espuma de leite e toque de canela."
Mocha,8,mocha.jpg,"Café expresso com chocolate e leite vaporizado."
Macchiato,7.5,macchiato.jpg,"Café expresso com uma leve camada de leite vaporizado."
Latte,6.5,latte.jpg,"Café suave com bastante leite vaporizado."
Café Gelado,6,cafeGelado.jpg,"Refrescante café gelado, perfeito para os dias quentes."
Café Caramelo,7.5,cafeCaramelo.jpg,"Doce e suave, o café com caramelo conquista os paladares."
Café Baunilha,7,cafeBaunilha.jpg,"Sabor delicado de baunilha misturado ao expresso."
Café com Chantilly,8.5,cafeChantilly.jpg,"Café doce com uma camada generosa de chantilly."
Café com Canela,6.5,cafeCanela.jpg,"Café com um toque especial de canela."
Café com Leite Condensado,7.5,cafeLeiteCondensado.jpg,"Café adocicado com leite condensado, um verdadeiro prazer."
Café Vegano,7,cafeVegano.jpg,"Café preparado com leite vegetal, para todos os gostos."
Café Especial da Casa,9,cafeEspecial.jpg,"A especialidade da casa com um sabor único e diferenciado."
